762abbea08fe4c8d9a6e417848e0cf8e	thai	Adrienne's Tom Ka Gai 	2 teaspoons peanut oil |2 cloves garlic, thinly sliced |2 tablespoons grated fresh ginger root |1/4 cup chopped lemon grass |2 teaspoons crushed red pepper |1 teaspoon ground coriander |1 teaspoon ground cumin |1 skinless, boneless chicken breast halves - cut into thin strips |1 onion, thinly sliced |2 cups bok choy, shredded |4 cups water |1 (10 ounce) can coconut milk |1/4 cup fish sauce |1/4 cup chopped fresh cilantro |	255	9300.0	17900.0	17.2	1158	34
1049016f5b4b796c11c4dcca43df9794	thai	Khao Man Gai Thai Chicken and Rice (Healthy Version) 	5 skinless, boneless chicken breasts |3 cups uncooked jasmine rice |3 tablespoons vegetable oil |1/2 cup sliced ginger |2 tablespoons crushed garlic |1 tablespoon white sugar |1/4 teaspoon salt |1/2 cup water, or as needed |5 pandan leaves |3 cups chicken stock |1 cup chopped ginger |1/2 cup coarsely chopped garlic |15 Thai bird chile peppers |6 tablespoons white sugar |1/4 cup dark soy sauce |1/4 cup soy sauce |1/4 cup lime juice |1/4 cup distilled white vinegar |1/4 cup salted soybean paste |10 sprigs fresh cilantro |1 tablespoon chicken bouillon granules (optional) |1 teaspoon salt |	807	137600.0	12400.0	37.6	3154	59
8ca04d74d018aaea8668f58d4c3a184d	thai	Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper) 	8 cloves garlic, chopped, or more to taste |2 tablespoons tapioca flour |2 tablespoons fish sauce |2 tablespoons light soy sauce |1 tablespoon white sugar |1/2 teaspoon ground white pepper |1/4 cup vegetable oil, divided, or as needed |1 pound whole unpeeled prawns, divided |	377	19500.0	24700.0	20.5	1118	157
b0e6517c07c587dadf8f9ee0ec37b668	thai	Yam Taeng (Spicy Cucumber Salad) 	3 cucumbers - peeled, seeded, and grated |3 tablespoons crushed dried shrimp |2/3 pound long beans, sliced thin and mashed |5 cherry tomatoes, halved |5 Thai chilies, sliced thin |1 tablespoon palm sugar |2 tablespoons fish sauce |juice of 1 lime, or more to taste |3 tablespoons roasted peanuts, chopped |	347	57900.0	4500.0	22.5	625	8
b9cc59088ab418692117fd7a8bf3efd6	thai	Pad Kee Mow (Drunkard's Noodles) 	1/4 cup rice vinegar |1/4 cup fish sauce |1/2 small lime, juiced |1 tablespoon palm sugar |1 tablespoon red pepper flakes, or more to taste |1 teaspoon ground black pepper |2 skinless, boneless chicken breast halves, thinly sliced |1 (16 ounce) package fresh rice noodles |warm water, as needed |3 tablespoons vegetable oil |4 cloves garlic, finely chopped |1/2 yellow onion, sliced |1/2 cup oyster sauce |2 tablespoons soy sauce |1 red bell pepper, sliced |2 small tomatoes, seeded and sliced |4 green onions, chopped |2 cups fresh Thai basil leaves |	301	44900.0	8300.0	11.8	1204	20
e78e0e7439551d8c86f811268dddecba	thai	Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang) 	1 1/2 cups uncooked short-grain white rice |2 cups water |1 1/2 cups coconut milk |1 cup white sugar |1/2 teaspoon salt |1/2 cup coconut milk |1 tablespoon white sugar |1/4 teaspoon salt |1 tablespoon tapioca starch |3 mangos, peeled and sliced |1 tablespoon toasted sesame seeds |	817	144300.0	26000	8.4	458	0
507bcd3d94c6c3c197b0d3056ea5d9a3	thai	Thai Carrot Salad 	1 pound carrots, coarsely grated |1 cup white sugar |1/2 cup water |1/2 cup rice vinegar |2 tablespoons minced garlic |2 tablespoons Thai fish sauce |1 1/2 teaspoons Thai red curry paste |2 tablespoons lime juice |1 tablespoon red pepper flakes (optional) |1/2 cup finely chopped unsalted peanuts |	183	34300.0	5400.0	3.5	332	0
6cff8e4eb568dce3be3089a90e4bd9db	thai	Thai Chicken Satay 	1/2 cup canned coconut milk |1 1/2 teaspoons ground coriander |1 teaspoon yellow curry powder |1 teaspoon fish sauce |1/2 teaspoon chili oil |1 pound skinless, boneless chicken breast halves - cut into strips |1 tablespoon chopped fresh cilantro |1 tablespoon chopped unsalted peanuts |12 wooden skewers, soaked in water for 15 minutes |1 cup prepared Thai peanut sauce |	391	9300.0	25000	35.4	315	66
f2cd434a502607cc5a14b5c92ad23596	thai	Thai Red Curry Paste 	5 dried red chile peppers, or to taste |2 onions, cut into chunks |2 tablespoons chopped fresh cilantro |1 tablespoon vegetable oil, or more as needed |1 tablespoon chopped garlic |1 tablespoon ground coriander |2 teaspoons lemon zest |2 teaspoons ground cumin |2 teaspoons shrimp paste |2 teaspoons paprika |1 teaspoon whole black peppercorns |1 teaspoon lemon grass powder |1 teaspoon ground turmeric |1 teaspoon salt |	103	15000	4300.0	2.6	593	2
821e73c6d9cc27071f8b235aede53313	thai	Curried Coconut Chicken 	2 pounds boneless skinless chicken breasts, cut into 1/2-inch chunks |1 teaspoon salt and pepper, or to taste |1 1/2 tablespoons vegetable oil |2 tablespoons curry powder |1/2 onion, thinly sliced |2 cloves garlic, crushed |1 (14 ounce) can coconut milk |1 (14.5 ounce) can stewed, diced tomatoes |1 (8 ounce) can tomato sauce |3 tablespoons sugar |	375	16700.0	20900.0	32.2	807	78
